,Current epoch time,Current epoch time.1,Open,High,Low,Close,volume,Date,Time,EMA_fast,EMA_slow,RSI,TR,ATR,Upper_band,Lower_band,Buy_Signal,Sell_Signal,Returns
31,2023-10-03 09:46:00+05:30,1696306560,45.0,47.65,44.1,46.15,738950,2023-10-03,09:46:00,,,40.59633027522935,3.549999999999997,2.44642857142857,40.31071428571429,51.43928571428571,0,0,0.0
32,2023-10-03 09:47:00+05:30,1696306620,46.0,46.7,44.2,44.2,403100,2023-10-03,09:47:00,,,39.0728476821192,2.5,2.507142857142856,39.17857142857144,51.72142857142857,0,0,0.0
33,2023-10-03 09:48:00+05:30,1696306680,43.75,46.3,43.45,45.7,548850,2023-10-03,09:48:00,,,49.64028776978417,2.8499999999999943,2.4642857142857126,38.90714285714286,50.84285714285714,0,0,0.0
34,2023-10-03 09:49:00+05:30,1696306740,45.35,46.0,44.0,44.15,339250,2023-10-03,09:49:00,,,45.47511312217194,2.0,2.4857142857142844,38.542857142857144,51.457142857142856,0,0,0.0
35,2023-10-03 09:50:00+05:30,1696306800,43.65,45.15,43.5,44.6,421600,2023-10-03,09:50:00,,,45.59819413092551,1.6499999999999986,2.514285714285713,37.60714285714286,51.04285714285714,0,0,0.0
36,2023-10-03 09:51:00+05:30,1696306860,44.6,45.95,44.0,44.6,378000,2023-10-03,09:51:00,,,46.8677494199536,1.9500000000000028,2.5535714285714275,38.28928571428572,51.660714285714285,0,0,0.0
37,2023-10-03 09:52:00+05:30,1696306920,44.7,45.25,42.05,43.55,501750,2023-10-03,09:52:00,,,45.804988662131514,3.200000000000003,2.7071428571428564,37.12857142857143,50.171428571428564,0,0,0.0
38,2023-10-03 09:53:00+05:30,1696306980,43.05,43.7,42.2,43.35,413900,2023-10-03,09:53:00,,,50.8816120906801,1.5,2.599999999999999,35.900000000000006,50.0,0,0,0.0
39,2023-10-03 09:54:00+05:30,1696307040,42.75,42.85,39.2,40.2,1285200,2023-10-03,09:54:00,,,46.86774941995361,4.149999999999999,2.782142857142857,34.50357142857143,47.54642857142858,0,0,0.0
40,2023-10-03 09:55:00+05:30,1696307100,39.95,40.65,38.3,40.65,1050350,2023-10-03,09:55:00,,,43.59605911330049,2.3500000000000014,2.7499999999999996,32.4,46.55,0,0,0.0
