,Timestamp,Open,High,Low,Close,Volume,Timestamp2,HMA,TEMA,TilsonT3,SecondTilsonT3,col,col2
55,1704702000,21574.3,21576.45,21566.1,21572.7,0,2024-01-08 13:50:00+05:30,21572.26331601732,21571.476394382094,21599.33254630794,21651.934016631778,red,red
56,1704702300,21572.4,21585.6,21569.8,21585.2,0,2024-01-08 13:55:00+05:30,21573.02040259741,21574.47739972405,21597.494934022325,21649.39147812711,red,red
57,1704702600,21584.4,21599.8,21578.15,21598.2,0,2024-01-08 14:00:00+05:30,21576.327675324683,21580.399935144105,21595.834401196855,21646.8940658437,lime,lime
58,1704702900,21598.4,21598.6,21576.15,21578.2,0,2024-01-08 14:05:00+05:30,21578.73645887446,21580.12286544218,21594.326141427733,21644.44362956707,lime,lime
59,1704703200,21578.2,21590.3,21577.2,21587.2,0,2024-01-08 14:10:00+05:30,21581.227021645023,21582.27155040979,21592.97590629927,21642.045461117632,lime,lime
60,1704703500,21586.9,21592.35,21578.5,21591.9,0,2024-01-08 14:15:00+05:30,21583.853718614722,21585.2804005024,21591.795902778333,21639.705786320654,lime,lime
61,1704703800,21592.2,21592.8,21551.85,21561.9,0,2024-01-08 14:20:00+05:30,21583.20687878788,21579.975088060357,21590.703140616384,21637.417700230762,red,red
62,1704704100,21561.3,21567.35,21547.3,21549.8,0,2024-01-08 14:25:00+05:30,21579.403779220782,21572.50979421313,21589.609142276833,21635.17102489967,red,red
63,1704704400,21550.2,21557.95,21524.0,21526.2,0,2024-01-08 14:30:00+05:30,21571.02062770563,21560.3242993656,21588.39421583732,21632.948557285938,red,red
64,1704704700,21524.4,21540.2,21515.5,21526.7,0,2024-01-08 14:35:00+05:30,21560.090636363642,21550.57326340241,21586.993863935975,21630.737309016637,red,red
65,1704705000,21526.2,21534.25,21519.9,21527.2,0,2024-01-08 14:40:00+05:30,21548.82068831169,21542.865874115378,21585.382602189835,21628.527841961633,red,red
66,1704705300,21526.1,21538.05,21525.35,21538.1,0,2024-01-08 14:45:00+05:30,21539.470523809527,21539.565113640627,21583.5910754329,21626.31781132663,red,red
67,1704705600,21538.6,21540.9,21531.3,21533.1,0,2024-01-08 14:50:00+05:30,21531.951307359304,21535.76472305967,21581.63939695249,21624.10425290278,red,red
68,1704705900,21532.3,21532.75,21522.15,21527.4,0,2024-01-08 14:55:00+05:30,21525.779701298703,21531.37986120068,21579.53838652064,21621.883478663953,red,red
69,1704706200,21527.1,21541.55,21511.35,21515.1,0,2024-01-08 15:00:00+05:30,21519.59333766234,21524.813345094077,21577.27413981948,21619.648667322603,red,red
70,1704706500,21516.6,21530.25,21509.7,21528.0,0,2024-01-08 15:05:00+05:30,21515.35779220779,21523.012580478262,21574.88956748766,21617.400602897178,red,red
71,1704706800,21528.1,21531.65,21499.05,21507.3,0,2024-01-08 15:10:00+05:30,21511.18497402597,21516.405679298452,21572.366585966778,21615.13279803815,red,red
72,1704707100,21507.9,21517.0,21492.9,21502.9,0,2024-01-08 15:15:00+05:30,21507.12334199134,21510.099878707315,21569.695911179344,21612.83954506887,red,red
73,1704707400,21503.2,21514.1,21497.0,21508.5,0,2024-01-08 15:20:00+05:30,21504.210904761905,21506.653101855245,21566.903043613915,21610.51981884482,red,red
74,1704707700,21508.9,21514.35,21506.3,21511.3,0,2024-01-08 15:25:00+05:30,21502.346277056276,21504.829719706602,21564.02658542202,21608.175238542466,red,red
75,1704771900,21653.6,21673.65,21632.2,21646.6,0,2024-01-09 09:15:00+05:30,21516.06577056277,21538.698243907187,21561.48636669724,21605.86203936753,lime,lime
76,1704772200,21646.2,21661.1,21645.35,21655.6,0,2024-01-09 09:20:00+05:30,21540.64041125541,21568.921290080227,21559.563033234015,21603.628997829746,lime,lime
77,1704772500,21656.0,21672.2,21655.6,21664.6,0,2024-01-09 09:25:00+05:30,21571.562506493505,21595.978420800453,21558.43204222084,21601.51817258887,lime,lime
78,1704772800,21663.8,21669.85,21643.7,21643.7,0,2024-01-09 09:30:00+05:30,21601.340389610392,21612.53481463403,21558.105843940357,21599.55372763919,lime,lime
79,1704773100,21644.2,21650.0,21624.05,21634.1,0,2024-01-09 09:35:00+05:30,21625.036389610388,21623.317281055086,21558.522541747945,21597.749630905575,lime,lime
80,1704773400,21633.9,21633.9,21602.35,21607.7,0,2024-01-09 09:40:00+05:30,21640.141164502165,21624.95592192317,21559.526828221147,21596.10479498514,lime,lime
81,1704773700,21606.6,21624.25,21604.85,21624.2,0,2024-01-09 09:45:00+05:30,21650.225017316017,21630.219779712952,21561.032252661265,21594.62310584819,lime,lime
82,1704774000,21623.7,21630.15,21594.45,21617.8,0,2024-01-09 09:50:00+05:30,21655.63445021645,21632.510214998645,21562.93451461822,21593.303206861397,lime,lime
83,1704774300,21617.6,21629.6,21614.6,21625.8,0,2024-01-09 09:55:00+05:30,21657.861571428573,21636.09915698957,21565.163248718734,21592.14523250798,lime,lime
